AbduceStrategy,Case,ChanceAnd,ChanceSplit,ChangePct,ChangedRatioMin,Changes,Explained,ExplainedPct,ExplainedRatioMax,Inconsistent,Microseconds,Nodes,Same,Strategy,Strokes,WhiteStrategy
max-in-deg-min-anc,411,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,303644,9,true,max-in-deg-min-anc_min-ancestors,15,min-ancestors
min-anc-min-in-deg,411,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,306155,9,true,min-anc-min-in-deg_min-ancestors,15,min-ancestors
min-in-deg-min-anc,411,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,302056,9,true,min-in-deg-min-anc_min-ancestors,15,min-ancestors
rand,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,443266,7,true,rand_min-ancestors,15,min-ancestors
min-in-degree,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,433321,7,true,min-in-degree_min-ancestors,15,min-ancestors
max-in-degree,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,424900,7,true,max-in-degree_min-ancestors,15,min-ancestors
min-ancestors,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,424442,7,true,min-ancestors_min-ancestors,15,min-ancestors
max-ancestors,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,422671,7,true,max-ancestors_min-ancestors,15,min-ancestors
min-anc-max-in-deg,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,430988,7,true,min-anc-max-in-deg_min-ancestors,15,min-ancestors
max-in-deg-min-anc,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,435038,7,true,max-in-deg-min-anc_min-ancestors,15,min-ancestors
min-anc-min-in-deg,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,433276,7,true,min-anc-min-in-deg_min-ancestors,15,min-ancestors
min-in-deg-min-anc,412,0.75,0.25,57.14285714285714,1.0,4,1,100.0,1.0,0,428318,7,true,min-in-deg-min-anc_min-ancestors,15,min-ancestors
rand,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,376468,5,true,rand_min-ancestors,5,min-ancestors
min-in-degree,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,451187,5,true,min-in-degree_min-ancestors,5,min-ancestors
max-in-degree,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,408794,5,true,max-in-degree_min-ancestors,5,min-ancestors
min-ancestors,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,426879,5,true,min-ancestors_min-ancestors,5,min-ancestors
max-ancestors,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,540360,5,true,max-ancestors_min-ancestors,5,min-ancestors
min-anc-max-in-deg,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,453065,5,true,min-anc-max-in-deg_min-ancestors,5,min-ancestors
max-in-deg-min-anc,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,416943,5,true,max-in-deg-min-anc_min-ancestors,5,min-ancestors
min-anc-min-in-deg,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,481781,5,true,min-anc-min-in-deg_min-ancestors,5,min-ancestors
min-in-deg-min-anc,413,0.75,0.25,80.0,1.0,4,1,100.0,1.0,0,428468,5,true,min-in-deg-min-anc_min-ancestors,5,min-ancestors
rand,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,1503640,14,true,rand_min-ancestors,18,min-ancestors
min-in-degree,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,2342051,14,true,min-in-degree_min-ancestors,18,min-ancestors
max-in-degree,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,2373009,14,true,max-in-degree_min-ancestors,18,min-ancestors
min-ancestors,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,2397008,14,true,min-ancestors_min-ancestors,18,min-ancestors
max-ancestors,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,1844783,14,true,max-ancestors_min-ancestors,18,min-ancestors
min-anc-max-in-deg,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,2087533,14,true,min-anc-max-in-deg_min-ancestors,18,min-ancestors
max-in-deg-min-anc,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,1731193,14,true,max-in-deg-min-anc_min-ancestors,18,min-ancestors
min-anc-min-in-deg,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,1663554,14,true,min-anc-min-in-deg_min-ancestors,18,min-ancestors
min-in-deg-min-anc,414,0.75,0.25,92.85714285714286,1.0,13,1,100.0,1.0,0,1597721,14,true,min-in-deg-min-anc_min-ancestors,18,min-ancestors
rand,415,0.75,0.25,50.0,1.0,5,1,100.0,1.0,0,1534180,10,false,rand_min-ancestors,22,min-ancestors
min-in-degree,415,0.75,0.25,50.0,1.0,5,1,100.0,1.0,0,1397068,10,false,min-in-degree_min-ancestors,22,min-ancestors
max-in-degree,415,0.75,0.25,80.0,1.5,8,1,100.0,1.0,0,2194134,10,false,max-in-degree_min-ancestors,22,min-ancestors
min-ancestors,415,0.75,0.25,50.0,1.0,5,1,100.0,1.0,0,1421315,10,false,min-ancestors_min-ancestors,22,min-ancestors
max-ancestors,415,0.75,0.25,80.0,1.5,8,1,100.0,1.0,0,2055011,10,false,max-ancestors_min-ancestors,22,min-ancestors
min-anc-max-in-deg,415,0.75,0.25,50.0,1.0,5,1,100.0,1.0,0,1285790,10,false,min-anc-max-in-deg_min-ancestors,22,min-ancestors
max-in-deg-min-anc,415,0.75,0.25,50.0,1.0,5,1,100.0,1.0,0,1109481,10,false,max-in-deg-min-anc_min-ancestors,22,min-ancestors
min-anc-min-in-deg,415,0.75,0.25,50.0,1.0,5,1,100.0,1.0,0,1109893,10,false,min-anc-min-in-deg_min-ancestors,22,min-ancestors
min-in-deg-min-anc,415,0.75,0.25,50.0,1.0,5,1,100.0,1.0,0,1086351,10,false,min-in-deg-min-anc_min-ancestors,22,min-ancestors
rand,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,5499911,23,true,rand_min-ancestors,44,min-ancestors
min-in-degree,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,6155392,23,true,min-in-degree_min-ancestors,44,min-ancestors
max-in-degree,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,5126864,23,true,max-in-degree_min-ancestors,44,min-ancestors
min-ancestors,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,5869670,23,true,min-ancestors_min-ancestors,44,min-ancestors
max-ancestors,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,6221864,23,true,max-ancestors_min-ancestors,44,min-ancestors
min-anc-max-in-deg,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,5207565,23,true,min-anc-max-in-deg_min-ancestors,44,min-ancestors
max-in-deg-min-anc,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,11073002,23,true,max-in-deg-min-anc_min-ancestors,44,min-ancestors
min-anc-min-in-deg,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,8179284,23,true,min-anc-min-in-deg_min-ancestors,44,min-ancestors
min-in-deg-min-anc,416,0.75,0.25,95.65217391304348,1.0,22,1,100.0,1.0,0,5472819,23,true,min-in-deg-min-anc_min-ancestors,44,min-ancestors
rand,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,10383889,34,true,rand_min-ancestors,50,min-ancestors
min-in-degree,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,11628012,34,true,min-in-degree_min-ancestors,50,min-ancestors
max-in-degree,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,9423796,34,true,max-in-degree_min-ancestors,50,min-ancestors
min-ancestors,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,12692727,34,true,min-ancestors_min-ancestors,50,min-ancestors
max-ancestors,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,14807526,34,true,max-ancestors_min-ancestors,50,min-ancestors
min-anc-max-in-deg,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,10307705,34,true,min-anc-max-in-deg_min-ancestors,50,min-ancestors
max-in-deg-min-anc,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,9895006,34,true,max-in-deg-min-anc_min-ancestors,50,min-ancestors
min-anc-min-in-deg,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,10557475,34,true,min-anc-min-in-deg_min-ancestors,50,min-ancestors
min-in-deg-min-anc,417,0.75,0.25,97.05882352941177,1.0,33,1,100.0,1.0,0,17822107,34,true,min-in-deg-min-anc_min-ancestors,50,min-ancestors
rand,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9030627,68,true,rand_min-ancestors,135,min-ancestors
min-in-degree,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9186096,68,true,min-in-degree_min-ancestors,135,min-ancestors
max-in-degree,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9127252,68,true,max-in-degree_min-ancestors,135,min-ancestors
min-ancestors,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9224400,68,true,min-ancestors_min-ancestors,135,min-ancestors
max-ancestors,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9890882,68,true,max-ancestors_min-ancestors,135,min-ancestors
min-anc-max-in-deg,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9545601,68,true,min-anc-max-in-deg_min-ancestors,135,min-ancestors
max-in-deg-min-anc,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9178992,68,true,max-in-deg-min-anc_min-ancestors,135,min-ancestors
min-anc-min-in-deg,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9234702,68,true,min-anc-min-in-deg_min-ancestors,135,min-ancestors
min-in-deg-min-anc,418,0.75,0.25,20.58823529411765,1.0,14,1,100.0,1.0,0,9231777,68,true,min-in-deg-min-anc_min-ancestors,135,min-ancestors
rand,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,379755,16,true,rand_min-ancestors,16,min-ancestors
min-in-degree,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,503192,16,true,min-in-degree_min-ancestors,16,min-ancestors
max-in-degree,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,449757,16,true,max-in-degree_min-ancestors,16,min-ancestors
min-ancestors,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,441570,16,true,min-ancestors_min-ancestors,16,min-ancestors
max-ancestors,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,432208,16,true,max-ancestors_min-ancestors,16,min-ancestors
min-anc-max-in-deg,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,407461,16,true,min-anc-max-in-deg_min-ancestors,16,min-ancestors
max-in-deg-min-anc,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,388345,16,true,max-in-deg-min-anc_min-ancestors,16,min-ancestors
min-anc-min-in-deg,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,447181,16,true,min-anc-min-in-deg_min-ancestors,16,min-ancestors
min-in-deg-min-anc,419,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,440381,16,true,min-in-deg-min-anc_min-ancestors,16,min-ancestors
rand,420,0.75,0.25,98.4375,1.454545454545455,63,1,100.0,1.0,0,28833828,64,false,rand_min-ancestors,92,min-ancestors
min-in-degree,420,0.75,0.25,98.4375,1.454545454545455,63,1,100.0,1.0,0,32185460,64,false,min-in-degree_min-ancestors,92,min-ancestors
max-in-degree,420,0.75,0.25,98.4375,1.454545454545455,63,1,100.0,1.0,0,26073739,64,false,max-in-degree_min-ancestors,92,min-ancestors
min-ancestors,420,0.75,0.25,67.1875,1.0,43,1,100.0,1.0,0,29320038,64,false,min-ancestors_min-ancestors,92,min-ancestors
max-ancestors,420,0.75,0.25,98.4375,1.454545454545455,63,1,100.0,1.0,0,27766662,64,false,max-ancestors_min-ancestors,92,min-ancestors
min-anc-max-in-deg,420,0.75,0.25,67.1875,1.0,43,1,100.0,1.0,0,21615597,64,false,min-anc-max-in-deg_min-ancestors,92,min-ancestors
max-in-deg-min-anc,420,0.75,0.25,67.1875,1.0,43,1,100.0,1.0,0,19809880,64,false,max-in-deg-min-anc_min-ancestors,92,min-ancestors
min-anc-min-in-deg,420,0.75,0.25,67.1875,1.0,43,1,100.0,1.0,0,21061131,64,false,min-anc-min-in-deg_min-ancestors,92,min-ancestors
min-in-deg-min-anc,420,0.75,0.25,67.1875,1.0,43,1,100.0,1.0,0,21198685,64,false,min-in-deg-min-anc_min-ancestors,92,min-ancestors
rand,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,290409,5,true,rand_min-ancestors,7,min-ancestors
min-in-degree,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,278366,5,true,min-in-degree_min-ancestors,7,min-ancestors
max-in-degree,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,270375,5,true,max-in-degree_min-ancestors,7,min-ancestors
min-ancestors,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,268565,5,true,min-ancestors_min-ancestors,7,min-ancestors
max-ancestors,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,270454,5,true,max-ancestors_min-ancestors,7,min-ancestors
min-anc-max-in-deg,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,279923,5,true,min-anc-max-in-deg_min-ancestors,7,min-ancestors
max-in-deg-min-anc,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,273561,5,true,max-in-deg-min-anc_min-ancestors,7,min-ancestors
min-anc-min-in-deg,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,272747,5,true,min-anc-min-in-deg_min-ancestors,7,min-ancestors
min-in-deg-min-anc,421,0.75,0.25,40.0,1.0,2,1,100.0,1.0,0,269776,5,true,min-in-deg-min-anc_min-ancestors,7,min-ancestors
rand,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,8007210,33,true,rand_min-ancestors,52,min-ancestors
min-in-degree,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,7860228,33,true,min-in-degree_min-ancestors,52,min-ancestors
max-in-degree,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,7047665,33,true,max-in-degree_min-ancestors,52,min-ancestors
min-ancestors,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,8758705,33,true,min-ancestors_min-ancestors,52,min-ancestors
max-ancestors,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,7189388,33,true,max-ancestors_min-ancestors,52,min-ancestors
min-anc-max-in-deg,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,7940804,33,true,min-anc-max-in-deg_min-ancestors,52,min-ancestors
max-in-deg-min-anc,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,7775008,33,true,max-in-deg-min-anc_min-ancestors,52,min-ancestors
min-anc-min-in-deg,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,8041784,33,true,min-anc-min-in-deg_min-ancestors,52,min-ancestors
min-in-deg-min-anc,422,0.75,0.25,96.96969696969697,1.0,32,1,100.0,1.0,0,7986733,33,true,min-in-deg-min-anc_min-ancestors,52,min-ancestors
rand,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,707517,9,true,rand_min-ancestors,9,min-ancestors
min-in-degree,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,690706,9,true,min-in-degree_min-ancestors,9,min-ancestors
max-in-degree,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,688560,9,true,max-in-degree_min-ancestors,9,min-ancestors
min-ancestors,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,731596,9,true,min-ancestors_min-ancestors,9,min-ancestors
max-ancestors,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,696941,9,true,max-ancestors_min-ancestors,9,min-ancestors
min-anc-max-in-deg,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,719247,9,true,min-anc-max-in-deg_min-ancestors,9,min-ancestors
max-in-deg-min-anc,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,721621,9,true,max-in-deg-min-anc_min-ancestors,9,min-ancestors
min-anc-min-in-deg,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,816384,9,true,min-anc-min-in-deg_min-ancestors,9,min-ancestors
min-in-deg-min-anc,423,0.75,0.25,88.8888888888889,1.0,8,1,100.0,1.0,0,814685,9,true,min-in-deg-min-anc_min-ancestors,9,min-ancestors
rand,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1158161,48,true,rand_min-ancestors,78,min-ancestors
min-in-degree,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1157240,48,true,min-in-degree_min-ancestors,78,min-ancestors
max-in-degree,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1160790,48,true,max-in-degree_min-ancestors,78,min-ancestors
min-ancestors,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1154914,48,true,min-ancestors_min-ancestors,78,min-ancestors
max-ancestors,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1149164,48,true,max-ancestors_min-ancestors,78,min-ancestors
min-anc-max-in-deg,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1165185,48,true,min-anc-max-in-deg_min-ancestors,78,min-ancestors
max-in-deg-min-anc,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1163120,48,true,max-in-deg-min-anc_min-ancestors,78,min-ancestors
min-anc-min-in-deg,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1160515,48,true,min-anc-min-in-deg_min-ancestors,78,min-ancestors
min-in-deg-min-anc,424,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1158589,48,true,min-in-deg-min-anc_min-ancestors,78,min-ancestors
rand,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,201755,7,true,rand_min-ancestors,7,min-ancestors
min-in-degree,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,207555,7,true,min-in-degree_min-ancestors,7,min-ancestors
max-in-degree,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,205945,7,true,max-in-degree_min-ancestors,7,min-ancestors
min-ancestors,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,204732,7,true,min-ancestors_min-ancestors,7,min-ancestors
max-ancestors,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,201778,7,true,max-ancestors_min-ancestors,7,min-ancestors
min-anc-max-in-deg,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,187660,7,true,min-anc-max-in-deg_min-ancestors,7,min-ancestors
max-in-deg-min-anc,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,185105,7,true,max-in-deg-min-anc_min-ancestors,7,min-ancestors
min-anc-min-in-deg,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,181278,7,true,min-anc-min-in-deg_min-ancestors,7,min-ancestors
min-in-deg-min-anc,425,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,181380,7,true,min-in-deg-min-anc_min-ancestors,7,min-ancestors
rand,426,0.75,0.25,15.09433962264151,1.285714285714286,8,1,100.0,1.0,0,8737617,53,false,rand_min-ancestors,102,min-ancestors
min-in-degree,426,0.75,0.25,16.9811320754717,1.428571428571429,9,1,100.0,1.0,0,8871670,53,false,min-in-degree_min-ancestors,102,min-ancestors
max-in-degree,426,0.75,0.25,16.9811320754717,1.428571428571429,9,1,100.0,1.0,0,8122866,53,false,max-in-degree_min-ancestors,102,min-ancestors
min-ancestors,426,0.75,0.25,11.32075471698113,1.0,6,1,100.0,1.0,0,8256320,53,false,min-ancestors_min-ancestors,102,min-ancestors
max-ancestors,426,0.75,0.25,18.86792452830189,1.571428571428571,10,1,100.0,1.0,0,12165595,53,false,max-ancestors_min-ancestors,102,min-ancestors
min-anc-max-in-deg,426,0.75,0.25,15.09433962264151,1.285714285714286,8,1,100.0,1.0,0,13861167,53,false,min-anc-max-in-deg_min-ancestors,102,min-ancestors
max-in-deg-min-anc,426,0.75,0.25,11.32075471698113,1.0,6,1,100.0,1.0,0,8181574,53,false,max-in-deg-min-anc_min-ancestors,102,min-ancestors
min-anc-min-in-deg,426,0.75,0.25,16.9811320754717,1.428571428571429,9,1,100.0,1.0,0,8725494,53,false,min-anc-min-in-deg_min-ancestors,102,min-ancestors
min-in-deg-min-anc,426,0.75,0.25,15.09433962264151,1.285714285714286,8,1,100.0,1.0,0,7854918,53,false,min-in-deg-min-anc_min-ancestors,102,min-ancestors
rand,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,500571,7,true,rand_min-ancestors,7,min-ancestors
min-in-degree,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,484725,7,true,min-in-degree_min-ancestors,7,min-ancestors
max-in-degree,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,475833,7,true,max-in-degree_min-ancestors,7,min-ancestors
min-ancestors,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,580265,7,true,min-ancestors_min-ancestors,7,min-ancestors
max-ancestors,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,500463,7,true,max-ancestors_min-ancestors,7,min-ancestors
min-anc-max-in-deg,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,525370,7,true,min-anc-max-in-deg_min-ancestors,7,min-ancestors
max-in-deg-min-anc,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,527035,7,true,max-in-deg-min-anc_min-ancestors,7,min-ancestors
min-anc-min-in-deg,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,524281,7,true,min-anc-min-in-deg_min-ancestors,7,min-ancestors
min-in-deg-min-anc,427,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,515882,7,true,min-in-deg-min-anc_min-ancestors,7,min-ancestors
rand,428,0.75,0.25,40.909090909090914,1.0,9,1,100.0,1.0,0,2811637,22,false,rand_min-ancestors,27,min-ancestors
min-in-degree,428,0.75,0.25,95.45454545454545,2.2,21,1,100.0,1.0,0,5177260,22,false,min-in-degree_min-ancestors,27,min-ancestors
max-in-degree,428,0.75,0.25,40.909090909090914,1.0,9,1,100.0,1.0,0,2812523,22,false,max-in-degree_min-ancestors,27,min-ancestors
min-ancestors,428,0.75,0.25,95.45454545454545,2.2,21,1,100.0,1.0,0,5834098,22,false,min-ancestors_min-ancestors,27,min-ancestors
max-ancestors,428,0.75,0.25,95.45454545454545,2.2,21,1,100.0,1.0,0,4965333,22,false,max-ancestors_min-ancestors,27,min-ancestors
min-anc-max-in-deg,428,0.75,0.25,95.45454545454545,2.2,21,1,100.0,1.0,0,5403998,22,false,min-anc-max-in-deg_min-ancestors,27,min-ancestors
max-in-deg-min-anc,428,0.75,0.25,95.45454545454545,2.2,21,1,100.0,1.0,0,4920785,22,false,max-in-deg-min-anc_min-ancestors,27,min-ancestors
min-anc-min-in-deg,428,0.75,0.25,95.45454545454545,2.2,21,1,100.0,1.0,0,5796479,22,false,min-anc-min-in-deg_min-ancestors,27,min-ancestors
min-in-deg-min-anc,428,0.75,0.25,95.45454545454545,2.2,21,1,100.0,1.0,0,5467611,22,false,min-in-deg-min-anc_min-ancestors,27,min-ancestors
rand,429,0.75,0.25,15.38461538461538,1.0,2,1,100.0,1.0,0,721135,13,false,rand_min-ancestors,18,min-ancestors
min-in-degree,429,0.75,0.25,76.92307692307692,3.666666666666667,10,1,100.0,1.0,0,1893862,13,false,min-in-degree_min-ancestors,18,min-ancestors
max-in-degree,429,0.75,0.25,76.92307692307692,3.666666666666667,10,1,100.0,1.0,0,1674802,13,false,max-in-degree_min-ancestors,18,min-ancestors
min-ancestors,429,0.75,0.25,15.38461538461538,1.0,2,1,100.0,1.0,0,888060,13,false,min-ancestors_min-ancestors,18,min-ancestors
max-ancestors,429,0.75,0.25,76.92307692307692,3.666666666666667,10,1,100.0,1.0,0,2025993,13,false,max-ancestors_min-ancestors,18,min-ancestors
min-anc-max-in-deg,429,0.75,0.25,15.38461538461538,1.0,2,1,100.0,1.0,0,781700,13,false,min-anc-max-in-deg_min-ancestors,18,min-ancestors
max-in-deg-min-anc,429,0.75,0.25,15.38461538461538,1.0,2,1,100.0,1.0,0,752199,13,false,max-in-deg-min-anc_min-ancestors,18,min-ancestors
min-anc-min-in-deg,429,0.75,0.25,15.38461538461538,1.0,2,1,100.0,1.0,0,759979,13,false,min-anc-min-in-deg_min-ancestors,18,min-ancestors
min-in-deg-min-anc,429,0.75,0.25,15.38461538461538,1.0,2,1,100.0,1.0,0,770047,13,false,min-in-deg-min-anc_min-ancestors,18,min-ancestors
rand,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,589889,16,true,rand_min-ancestors,20,min-ancestors
min-in-degree,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,571211,16,true,min-in-degree_min-ancestors,20,min-ancestors
max-in-degree,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,569701,16,true,max-in-degree_min-ancestors,20,min-ancestors
min-ancestors,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,567275,16,true,min-ancestors_min-ancestors,20,min-ancestors
max-ancestors,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,565443,16,true,max-ancestors_min-ancestors,20,min-ancestors
min-anc-max-in-deg,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,575838,16,true,min-anc-max-in-deg_min-ancestors,20,min-ancestors
max-in-deg-min-anc,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,574784,16,true,max-in-deg-min-anc_min-ancestors,20,min-ancestors
min-anc-min-in-deg,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,574708,16,true,min-anc-min-in-deg_min-ancestors,20,min-ancestors
min-in-deg-min-anc,430,0.75,0.25,6.25,1.0,1,1,100.0,1.0,0,573500,16,true,min-in-deg-min-anc_min-ancestors,20,min-ancestors
rand,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,4692000,21,true,rand_min-ancestors,33,min-ancestors
min-in-degree,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,4963243,21,true,min-in-degree_min-ancestors,33,min-ancestors
max-in-degree,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,4579043,21,true,max-in-degree_min-ancestors,33,min-ancestors
min-ancestors,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,5435621,21,true,min-ancestors_min-ancestors,33,min-ancestors
max-ancestors,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,5230579,21,true,max-ancestors_min-ancestors,33,min-ancestors
min-anc-max-in-deg,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,4431250,21,true,min-anc-max-in-deg_min-ancestors,33,min-ancestors
max-in-deg-min-anc,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,4417631,21,true,max-in-deg-min-anc_min-ancestors,33,min-ancestors
min-anc-min-in-deg,431,0.75,0.25,85.71428571428571,1.0,18,1,100.0,1.0,0,4860060,21,true,min-anc-min-in-deg_min-ancestors,33,min-ancestors
