AbduceStrategy,Case,ChanceAnd,ChanceSplit,ChangePct,ChangedRatioMin,Changes,Explained,ExplainedPct,ExplainedRatioMax,Inconsistent,Microseconds,Nodes,Same,Strategy,Strokes,WhiteStrategy
min-anc-min-in-deg,3,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,2109255,13,true,min-anc-min-in-deg_min-ancestors,16,min-ancestors
min-in-deg-min-anc,3,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,2309507,13,true,min-in-deg-min-anc_min-ancestors,16,min-ancestors
rand,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,477583,15,true,rand_min-ancestors,30,min-ancestors
min-in-degree,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,457922,15,true,min-in-degree_min-ancestors,30,min-ancestors
max-in-degree,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,465217,15,true,max-in-degree_min-ancestors,30,min-ancestors
min-ancestors,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,477503,15,true,min-ancestors_min-ancestors,30,min-ancestors
max-ancestors,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,762409,15,true,max-ancestors_min-ancestors,30,min-ancestors
min-anc-max-in-deg,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,1070647,15,true,min-anc-max-in-deg_min-ancestors,30,min-ancestors
max-in-deg-min-anc,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,993004,15,true,max-in-deg-min-anc_min-ancestors,30,min-ancestors
min-anc-min-in-deg,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,842556,15,true,min-anc-min-in-deg_min-ancestors,30,min-ancestors
min-in-deg-min-anc,4,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,830420,15,true,min-in-deg-min-anc_min-ancestors,30,min-ancestors
rand,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3453570,20,true,rand_min-ancestors,37,min-ancestors
min-in-degree,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3542789,20,true,min-in-degree_min-ancestors,37,min-ancestors
max-in-degree,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3537859,20,true,max-in-degree_min-ancestors,37,min-ancestors
min-ancestors,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3924495,20,true,min-ancestors_min-ancestors,37,min-ancestors
max-ancestors,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3737644,20,true,max-ancestors_min-ancestors,37,min-ancestors
min-anc-max-in-deg,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3739801,20,true,min-anc-max-in-deg_min-ancestors,37,min-ancestors
max-in-deg-min-anc,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3475150,20,true,max-in-deg-min-anc_min-ancestors,37,min-ancestors
min-anc-min-in-deg,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3574290,20,true,min-anc-min-in-deg_min-ancestors,37,min-ancestors
min-in-deg-min-anc,5,0.75,0.25,90.0,1.0,18,1,100.0,1.0,0,3512341,20,true,min-in-deg-min-anc_min-ancestors,37,min-ancestors
rand,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,1700576,15,true,rand_min-ancestors,15,min-ancestors
min-in-degree,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,1827486,15,true,min-in-degree_min-ancestors,15,min-ancestors
max-in-degree,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,1855454,15,true,max-in-degree_min-ancestors,15,min-ancestors
min-ancestors,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,1976262,15,true,min-ancestors_min-ancestors,15,min-ancestors
max-ancestors,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,2081268,15,true,max-ancestors_min-ancestors,15,min-ancestors
min-anc-max-in-deg,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,1790914,15,true,min-anc-max-in-deg_min-ancestors,15,min-ancestors
max-in-deg-min-anc,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,1798743,15,true,max-in-deg-min-anc_min-ancestors,15,min-ancestors
min-anc-min-in-deg,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,2094077,15,true,min-anc-min-in-deg_min-ancestors,15,min-ancestors
min-in-deg-min-anc,6,0.75,0.25,93.33333333333333,1.0,14,1,100.0,1.0,0,1906118,15,true,min-in-deg-min-anc_min-ancestors,15,min-ancestors
rand,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1591858,12,true,rand_min-ancestors,13,min-ancestors
min-in-degree,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1745477,12,true,min-in-degree_min-ancestors,13,min-ancestors
max-in-degree,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1576128,12,true,max-in-degree_min-ancestors,13,min-ancestors
min-ancestors,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,2527013,12,true,min-ancestors_min-ancestors,13,min-ancestors
max-ancestors,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1877160,12,true,max-ancestors_min-ancestors,13,min-ancestors
min-anc-max-in-deg,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1768056,12,true,min-anc-max-in-deg_min-ancestors,13,min-ancestors
max-in-deg-min-anc,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1761843,12,true,max-in-deg-min-anc_min-ancestors,13,min-ancestors
min-anc-min-in-deg,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1797016,12,true,min-anc-min-in-deg_min-ancestors,13,min-ancestors
min-in-deg-min-anc,7,0.75,0.25,91.66666666666667,1.0,11,1,100.0,1.0,0,1744009,12,true,min-in-deg-min-anc_min-ancestors,13,min-ancestors
rand,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,667953,8,true,rand_min-ancestors,10,min-ancestors
min-in-degree,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,944136,8,true,min-in-degree_min-ancestors,10,min-ancestors
max-in-degree,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,1038809,8,true,max-in-degree_min-ancestors,10,min-ancestors
min-ancestors,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,917520,8,true,min-ancestors_min-ancestors,10,min-ancestors
max-ancestors,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,894229,8,true,max-ancestors_min-ancestors,10,min-ancestors
min-anc-max-in-deg,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,920295,8,true,min-anc-max-in-deg_min-ancestors,10,min-ancestors
max-in-deg-min-anc,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,889185,8,true,max-in-deg-min-anc_min-ancestors,10,min-ancestors
min-anc-min-in-deg,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,857147,8,true,min-anc-min-in-deg_min-ancestors,10,min-ancestors
min-in-deg-min-anc,8,0.75,0.25,87.5,1.0,7,1,100.0,1.0,0,813093,8,true,min-in-deg-min-anc_min-ancestors,10,min-ancestors
rand,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,296474,3,true,rand_min-ancestors,3,min-ancestors
min-in-degree,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,363895,3,true,min-in-degree_min-ancestors,3,min-ancestors
max-in-degree,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,346975,3,true,max-in-degree_min-ancestors,3,min-ancestors
min-ancestors,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,265414,3,true,min-ancestors_min-ancestors,3,min-ancestors
max-ancestors,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,340844,3,true,max-ancestors_min-ancestors,3,min-ancestors
min-anc-max-in-deg,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,247108,3,true,min-anc-max-in-deg_min-ancestors,3,min-ancestors
max-in-deg-min-anc,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,256798,3,true,max-in-deg-min-anc_min-ancestors,3,min-ancestors
min-anc-min-in-deg,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,276696,3,true,min-anc-min-in-deg_min-ancestors,3,min-ancestors
min-in-deg-min-anc,9,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,230275,3,true,min-in-deg-min-anc_min-ancestors,3,min-ancestors
rand,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,557430,22,true,rand_min-ancestors,34,min-ancestors
min-in-degree,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,544527,22,true,min-in-degree_min-ancestors,34,min-ancestors
max-in-degree,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,532482,22,true,max-in-degree_min-ancestors,34,min-ancestors
min-ancestors,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,553646,22,true,min-ancestors_min-ancestors,34,min-ancestors
max-ancestors,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,534031,22,true,max-ancestors_min-ancestors,34,min-ancestors
min-anc-max-in-deg,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,542090,22,true,min-anc-max-in-deg_min-ancestors,34,min-ancestors
max-in-deg-min-anc,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,550267,22,true,max-in-deg-min-anc_min-ancestors,34,min-ancestors
min-anc-min-in-deg,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,540298,22,true,min-anc-min-in-deg_min-ancestors,34,min-ancestors
min-in-deg-min-anc,10,0.75,0.25,0.0,1.0,0,1,100.0,1.0,0,545805,22,true,min-in-deg-min-anc_min-ancestors,34,min-ancestors
rand,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1646550,13,true,rand_min-ancestors,21,min-ancestors
min-in-degree,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1685877,13,true,min-in-degree_min-ancestors,21,min-ancestors
max-in-degree,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1720212,13,true,max-in-degree_min-ancestors,21,min-ancestors
min-ancestors,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1936238,13,true,min-ancestors_min-ancestors,21,min-ancestors
max-ancestors,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1722714,13,true,max-ancestors_min-ancestors,21,min-ancestors
min-anc-max-in-deg,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1807851,13,true,min-anc-max-in-deg_min-ancestors,21,min-ancestors
max-in-deg-min-anc,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1840077,13,true,max-in-deg-min-anc_min-ancestors,21,min-ancestors
min-anc-min-in-deg,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1813633,13,true,min-anc-min-in-deg_min-ancestors,21,min-ancestors
min-in-deg-min-anc,11,0.75,0.25,92.3076923076923,1.0,12,1,100.0,1.0,0,1703215,13,true,min-in-deg-min-anc_min-ancestors,21,min-ancestors
rand,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,389857,8,true,rand_min-ancestors,11,min-ancestors
min-in-degree,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,379169,8,true,min-in-degree_min-ancestors,11,min-ancestors
max-in-degree,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,371614,8,true,max-in-degree_min-ancestors,11,min-ancestors
min-ancestors,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,372225,8,true,min-ancestors_min-ancestors,11,min-ancestors
max-ancestors,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,376764,8,true,max-ancestors_min-ancestors,11,min-ancestors
min-anc-max-in-deg,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,381032,8,true,min-anc-max-in-deg_min-ancestors,11,min-ancestors
max-in-deg-min-anc,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,379329,8,true,max-in-deg-min-anc_min-ancestors,11,min-ancestors
min-anc-min-in-deg,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,377263,8,true,min-anc-min-in-deg_min-ancestors,11,min-ancestors
min-in-deg-min-anc,12,0.75,0.25,12.5,1.0,1,1,100.0,1.0,0,377394,8,true,min-in-deg-min-anc_min-ancestors,11,min-ancestors
rand,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,675271,7,true,rand_min-ancestors,8,min-ancestors
min-in-degree,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,662717,7,true,min-in-degree_min-ancestors,8,min-ancestors
max-in-degree,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,614662,7,true,max-in-degree_min-ancestors,8,min-ancestors
min-ancestors,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,802606,7,true,min-ancestors_min-ancestors,8,min-ancestors
max-ancestors,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,681645,7,true,max-ancestors_min-ancestors,8,min-ancestors
min-anc-max-in-deg,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,744123,7,true,min-anc-max-in-deg_min-ancestors,8,min-ancestors
max-in-deg-min-anc,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,6558050,7,true,max-in-deg-min-anc_min-ancestors,8,min-ancestors
min-anc-min-in-deg,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,856636,7,true,min-anc-min-in-deg_min-ancestors,8,min-ancestors
min-in-deg-min-anc,13,0.75,0.25,85.71428571428571,1.0,6,1,100.0,1.0,0,810643,7,true,min-in-deg-min-anc_min-ancestors,8,min-ancestors
rand,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,3275012,22,true,rand_min-ancestors,41,min-ancestors
min-in-degree,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,4820673,22,true,min-in-degree_min-ancestors,41,min-ancestors
max-in-degree,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,4504384,22,true,max-in-degree_min-ancestors,41,min-ancestors
min-ancestors,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,3767897,22,true,min-ancestors_min-ancestors,41,min-ancestors
max-ancestors,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,3598402,22,true,max-ancestors_min-ancestors,41,min-ancestors
min-anc-max-in-deg,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,3446672,22,true,min-anc-max-in-deg_min-ancestors,41,min-ancestors
max-in-deg-min-anc,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,3468560,22,true,max-in-deg-min-anc_min-ancestors,41,min-ancestors
min-anc-min-in-deg,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,3359607,22,true,min-anc-min-in-deg_min-ancestors,41,min-ancestors
min-in-deg-min-anc,14,0.75,0.25,95.45454545454545,1.0,21,1,100.0,1.0,0,3498267,22,true,min-in-deg-min-anc_min-ancestors,41,min-ancestors
rand,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,8629663,41,true,rand_min-ancestors,67,min-ancestors
min-in-degree,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,8702889,41,true,min-in-degree_min-ancestors,67,min-ancestors
max-in-degree,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,8575740,41,true,max-in-degree_min-ancestors,67,min-ancestors
min-ancestors,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,9739667,41,true,min-ancestors_min-ancestors,67,min-ancestors
max-ancestors,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,8704835,41,true,max-ancestors_min-ancestors,67,min-ancestors
min-anc-max-in-deg,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,9460893,41,true,min-anc-max-in-deg_min-ancestors,67,min-ancestors
max-in-deg-min-anc,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,8120018,41,true,max-in-deg-min-anc_min-ancestors,67,min-ancestors
min-anc-min-in-deg,15,0.75,0.25,97.5609756097561,1.0,40,1,100.0,1.0,0,8268487,41,true,min-anc-min-in-deg_min-ancestors,67,min-ancestors
